opportunity_id,title,description,organization,type,domains,territories,eligibility,funding,deadline,status,official_url,source_id,published_at,updated_at,first_seen_at,last_seen_at,confidence
candidate-44358da29baf9522,DIRETRIZES ESPECÍFICAS DA FAPESB – Chamada para submissão de propostas do programa de Intercâmbio de Pessoal (MSCA SE) em coordenação com o Horizonte Europa -,Candidate observed on an official source page; detail verification pending.,FAPESB,opportunity_candidate,"[""sustainability"", ""research"", ""innovation""]",[],[],{},,UNKNOWN,https://www.fapesb.ba.gov.br/diretrizes-especificas-da-fapesb-chamada-para-submissao-de-propostas-do-programa-de-intercambio-de-pessoal-msca-se-em-coordenacao-com-o-horizonte-europa-2/,fapesb-editais,,2026-08-26T00:17:46Z,2026-08-26T00:12:06Z,2026-08-26T00:17:46Z,0.55
candidate-9ac12a4de1a80b2c,CHAMADA 2026- PROGRAMA DE AUXILIO PARA DOUTORANDOS COM BOLSA NACIONAL – DAAD -,Candidate observed on an official source page; detail verification pending.,FAPESB,opportunity_candidate,"[""sustainability"", ""research"", ""innovation""]",[],[],{},,UNKNOWN,https://www.fapesb.ba.gov.br/chamada-2026-programa-de-auxilio-para-doutorandos-com-bolsa-nacional-daad/,fapesb-editais,,2026-08-26T00:17:46Z,2026-08-26T00:12:06Z,2026-08-26T00:17:46Z,0.55
candidate-51dbb2ad8227ce7b,CHAMADA CONFAP/ERC 2026 – CALL RESEARCH OPPORTUNITIES IN EUROPE FOR ACTIVE PHD RESEARCHERS FROM BRAZIL -,Candidate observed on an official source page; detail verification pending.,FAPESB,opportunity_candidate,"[""sustainability"", ""research"", ""innovation""]",[],[],{},,UNKNOWN,https://www.fapesb.ba.gov.br/chamada-confaperc-2026-call-research-opportunities-in-europe-for-active-phd-researchers-from-brazil/,fapesb-editais,,2026-08-26T00:17:46Z,2026-08-26T00:12:06Z,2026-08-26T00:17:46Z,0.55
candidate-358966b9c0fc12b0,CHAMADA GCUB – MOB Nº 2026/2027 – PROGRAMA DE MOBILIDADE INTERNACIONAL DO GCUB (GCUB-MOB) -,Candidate observed on an official source page; detail verification pending.,FAPESB,opportunity_candidate,"[""sustainability"", ""research"", ""innovation""]",[],[],{},,UNKNOWN,https://www.fapesb.ba.gov.br/chamada-gcub-mob-no-20262027-programa-de-mobilidade-internacional-do-gcub-gcub-mob/,fapesb-editais,,2026-08-26T00:17:46Z,2026-08-26T00:12:06Z,2026-08-26T00:17:46Z,0.55
candidate-182e2aff4155e9a3,"EDITAL DE SELEÇÃO PÚBLICA Nº 017/ 2026 Subvenção Econômica à Pesquisa,Desenvolvimento e Inovação (P,D&I) Soluções de Sistemas Inteligentes para a Administração Estadual – Rodada 2 -",Candidate observed on an official source page; detail verification pending.,FAPESB,opportunity_candidate,"[""sustainability"", ""research"", ""innovation""]",[],[],{},,UNKNOWN,https://www.fapesb.ba.gov.br/edital-de-selecao-publica-no-017-2026-subvencao-economica-a-pesquisadesenvolvimento-e-inovacao-pdi-solucoes-de-sistemas-inteligentes-para-a-administracao-estadual-rodada-2/,fapesb-editais,,2026-08-26T00:17:46Z,2026-08-26T00:12:06Z,2026-08-26T00:17:46Z,0.55
candidate-68d37597c0e0f517,EDITAL FAPESB/SECTI/IEL nº 004/2026 – Chamada Estratégica FAPESB/SECTI/IEL -,Candidate observed on an official source page; detail verification pending.,FAPESB,opportunity_candidate,"[""sustainability"", ""research"", ""innovation""]",[],[],{},,UNKNOWN,https://www.fapesb.ba.gov.br/edital-fapesbsectiiel-no-0042026-chamada-estrategica-fapesbsectiiel/,fapesb-editais,,2026-08-26T00:17:46Z,2026-08-26T00:12:06Z,2026-08-26T00:17:46Z,0.55
candidate-68d58b4a827648f7,Programa de Bolsas,Candidate observed on an official source page; detail verification pending.,FAPESB,opportunity_candidate,"[""sustainability"", ""research"", ""innovation""]",[],[],{},,UNKNOWN,https://www.fapesb.ba.gov.br/programa-de-bolsas,fapesb-editais,,2026-08-26T00:17:46Z,2026-08-26T00:12:06Z,2026-08-26T00:17:46Z,0.55
candidate-b4dad927afaddd36,A FAPESB,Candidate observed on an official source page; detail verification pending.,FAPESB,opportunity_candidate,"[""sustainability"", ""research"", ""innovation""]",[],[],{},,UNKNOWN,https://www.fapesb.ba.gov.br/category/edital/,fapesb-editais,,2026-08-26T00:17:46Z,2026-08-26T00:12:06Z,2026-08-26T00:17:46Z,0.55
candidate-ac0d0e259285f0e1,CHAMADA CDTI ESPANHA (2026-2027) – DIRETRIZES ESPECÍFICAS DA FAPESB -,Candidate observed on an official source page; detail verification pending.,FAPESB,opportunity_candidate,"[""sustainability"", ""research"", ""innovation""]",[],[],{},,UNKNOWN,https://www.fapesb.ba.gov.br/chamada-cdti-espanha-2026-2027-diretrizes-especificas-da-fapesb/,fapesb-editais,,2026-08-26T00:17:46Z,2026-08-26T00:12:06Z,2026-08-26T00:17:46Z,0.55
candidate-a25322805a24e280,Chamada Fundação de Amparo à Pesquisa da Bahia/SECTI/SEMA/FGB nº 01/2026 -,Candidate observed on an official source page; detail verification pending.,FAPESB,opportunity_candidate,"[""sustainability"", ""research"", ""innovation""]",[],[],{},,UNKNOWN,https://www.fapesb.ba.gov.br/chamada-fundacao-de-amparo-a-pesquisa-da-bahiasectisemafgb-no-012026/,fapesb-editais,,2026-08-26T00:17:46Z,2026-08-26T00:12:06Z,2026-08-26T00:17:46Z,0.55
candidate-719783d5a2365ec1,Clique aqui.,Candidate observed on an official source page; detail verification pending.,FAPESB,opportunity_candidate,"[""sustainability"", ""research"", ""innovation""]",[],[],{},,UNKNOWN,https://www.fapesb.ba.gov.br/edital-fapesbsectisdr-no-152023,fapesb-editais,,2026-08-26T00:17:46Z,2026-08-26T00:12:06Z,2026-08-26T00:17:46Z,0.55
candidate-354965e8537b2a44,DIRETRIZES ESPECÍFICAS DA FAPESB – 1ª CHAMADA DA PARCERIA DE MATÉRIAS- PRIMAS PARA A TRANSIÇÃO VERDE E DIGITAL (RAMP) 2026-2027 -,Candidate observed on an official source page; detail verification pending.,FAPESB,opportunity_candidate,"[""sustainability"", ""research"", ""innovation""]",[],[],{},,UNKNOWN,https://www.fapesb.ba.gov.br/diretrizes-especificas-da-fapesb-1a-chamada-da-parceria-de-materias-primas-para-a-transicao-verde-e-digital-ramp-2026-2027/,fapesb-editais,,2026-08-26T00:17:46Z,2026-08-26T00:12:06Z,2026-08-26T00:17:46Z,0.55
candidate-03d6667b1fc0a76a,DIRETRIZES ESPECÍFICAS DA FAPESB – CHAMADA 2026 CONFAP – BRASILLINOIS -,Candidate observed on an official source page; detail verification pending.,FAPESB,opportunity_candidate,"[""sustainability"", ""research"", ""innovation""]",[],[],{},,UNKNOWN,https://www.fapesb.ba.gov.br/diretrizes-especificas-da-fapesb-chamada-2026-confap-brasillinois/,fapesb-editais,,2026-08-26T00:17:46Z,2026-08-26T00:12:06Z,2026-08-26T00:17:46Z,0.55
candidate-7e844135d11c6422,DIRETRIZES ESPECÍFICAS DA FAPESB – CHAMADA MOBILITY CONFAP ITALY 2026 -,Candidate observed on an official source page; detail verification pending.,FAPESB,opportunity_candidate,"[""sustainability"", ""research"", ""innovation""]",[],[],{},,UNKNOWN,https://www.fapesb.ba.gov.br/diretrizes-especificas-da-fapesb-chamada-mobility-confap-italy-2026/,fapesb-editais,,2026-08-26T00:17:46Z,2026-08-26T00:12:06Z,2026-08-26T00:17:46Z,0.55
candidate-dd49c46e8eb2444c,"EDITAL FAPESB No 018/2026 – APOIO À PUBLICAÇÃO CIENTÍFICA, TECNOLÓGICA OU DE POPULARIZAÇÃO DAS CIÊNCIAS -",Candidate observed on an official source page; detail verification pending.,FAPESB,opportunity_candidate,"[""sustainability"", ""research"", ""innovation""]",[],[],{},,UNKNOWN,https://www.fapesb.ba.gov.br/edital-fapesb-no-0182026-apoio-a-publicacao-cientifica-tecnologica-ou-de-popularizacao-das-ciencias/,fapesb-editais,,2026-08-26T00:17:46Z,2026-08-26T00:12:06Z,2026-08-26T00:17:46Z,0.55
candidate-f5da940f6fb93fd1,EDITAL FAPESB N° 05/2026 MOVE 2026 – PARTICIPAÇÃO DE PESQUISADORES EM EVENTOS NO EXTERIOR -,Candidate observed on an official source page; detail verification pending.,FAPESB,opportunity_candidate,"[""sustainability"", ""research"", ""innovation""]",[],[],{},,UNKNOWN,https://www.fapesb.ba.gov.br/edital-fapesb-n-052026-move-2026-participacao-de-pesquisadores-em-eventos-no-exterior/,fapesb-editais,,2026-08-26T00:17:46Z,2026-08-26T00:12:06Z,2026-08-26T00:17:46Z,0.55
